timestamp,node_id,job_id,polling_interval_actual,gpu_index,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,ib_port_xmit_data,ib_port_rcv_data,ib_port_xmit_packets,ib_port_rcv_packets,ib_port_xmit_wait,ib_port_xmit_discards,ib_excessive_buffer_overrun_errors,ib_link_downed,ib_link_error_recovery,ib_symbol_error,ib_local_link_integrity_errors,ib_port_rcv_remote_physical_errors,ib_port_rcv_errors,ib_sq_num_rnr,ib_sq_num_to,ib_rq_num_oos,ib_sq_num_oos,ib_port_xmit_data_delta,ib_port_rcv_data_delta,ib_port_xmit_packets_delta,ib_port_rcv_packets_delta,ib_port_xmit_wait_delta,ib_port_xmit_discards_delta,ib_excessive_buffer_overrun_errors_delta,ib_symbol_error_delta,ib_port_rcv_errors_delta,ib_sq_num_rnr_delta,ib_sq_num_to_delta,ib_rq_num_oos_delta,ib_sq_num_oos_delta
1777326758.316796,g5.hpc.coe,34662,,0,0.0,0.0,12288.0,108624235172,137914596009,219074001,272374976,6269652,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
1777326758.8169208,g5.hpc.coe,34662,0.5001,0,0.0,0.0,12288.0,108624242953,137914603333,219074142,272375113,6269652,0,0,0,0,0,0,0,0,0,0,0,0,7781,7324,141,137,0,0,0,0,0,0,0,0,0
1777326759.3170369,g5.hpc.coe,34662,0.5001,0,0.0,0.0,12288.0,108624330859,137914689860,219075817,272376787,6269652,0,0,0,0,0,0,0,0,0,0,0,0,87906,86527,1675,1674,0,0,0,0,0,0,0,0,0
1777326759.8171496,g5.hpc.coe,34662,0.5001,0,0.0,0.0,12288.0,108624400019,137914757763,219077134,272378100,6269652,0,0,0,0,0,0,0,0,0,0,0,0,69160,67903,1317,1313,0,0,0,0,0,0,0,0,0
1777326760.317284,g5.hpc.coe,34662,0.5001,0,0.0,0.0,12288.0,108624438199,137914795040,219077859,272378817,6269652,0,0,0,0,0,0,0,0,0,0,0,0,38180,37277,725,717,0,0,0,0,0,0,0,0,0
1777326760.8173985,g5.hpc.coe,34662,0.5001,0,1.0,257.0,12288.0,108624439164,137914795613,219077871,272378826,6269652,0,0,0,0,0,0,0,0,0,0,0,0,965,573,12,9,0,0,0,0,0,0,0,0,0
1777326761.3175008,g5.hpc.coe,34662,0.5001,0,6.0,419.0,12288.0,108629669279,137920025245,219083596,272384552,6269654,0,0,0,0,0,0,0,0,0,0,0,0,5230115,5229632,5725,5726,2,0,0,0,0,0,0,0,0
1777326761.8175867,g5.hpc.coe,34662,0.5001,0,0.0,419.0,12288.0,108629775354,137920129430,219085615,272386568,6269654,0,0,0,0,0,0,0,0,0,0,0,0,106075,104185,2019,2016,0,0,0,0,0,0,0,0,0
1777326762.3176725,g5.hpc.coe,34662,0.5001,0,0.0,419.0,12288.0,108629837012,137920189565,219086785,272387734,6269654,0,0,0,0,0,0,0,0,0,0,0,0,61658,60135,1170,1166,0,0,0,0,0,0,0,0,0
1777326762.8177843,g5.hpc.coe,34662,0.5001,0,100.0,473.0,12288.0,108629851993,137920203733,219087062,272388008,6269654,0,0,0,0,0,0,0,0,0,0,0,0,14981,14168,277,274,0,0,0,0,0,0,0,0,0
1777326763.3179035,g5.hpc.coe,34662,0.5001,0,61.0,2035.0,12288.0,108643753747,137934097155,219101012,272401950,6269784,0,0,0,0,0,0,0,0,0,0,0,0,13901754,13893422,13950,13942,130,0,0,0,0,0,0,0,0
1777326763.8180034,g5.hpc.coe,34662,0.5001,0,100.0,2035.0,12288.0,108679181680,137969494397,219136725,272437631,6269797,0,0,0,0,0,0,0,0,0,0,0,0,35427933,35397242,35713,35681,13,0,0,0,0,0,0,0,0
1777326764.318103,g5.hpc.coe,34662,0.5001,0,100.0,2035.0,12288.0,108713919525,138004204731,219171677,272472568,6269809,0,0,0,0,0,0,0,0,0,0,0,0,34737845,34710334,34952,34937,12,0,0,0,0,0,0,0,0
1777326764.8181996,g5.hpc.coe,34662,0.5001,0,100.0,2035.0,12288.0,108754914751,138045170201,219212865,272513747,6269823,0,0,0,0,0,0,0,0,0,0,0,0,40995226,40965470,41188,41179,14,0,0,0,0,0,0,0,0
1777326765.3182976,g5.hpc.coe,34662,0.5001,0,100.0,2035.0,12288.0,108790342800,138080567443,219248576,272549428,6269934,0,0,0,0,0,0,0,0,0,0,0,0,35428049,35397242,35711,35681,111,0,0,0,0,0,0,0,0
