timestamp,node_id,job_id,polling_interval_actual,gpu_index,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,ib_port_xmit_data,ib_port_rcv_data,ib_port_xmit_packets,ib_port_rcv_packets,ib_port_xmit_wait,ib_port_xmit_discards,ib_excessive_buffer_overrun_errors,ib_link_downed,ib_link_error_recovery,ib_symbol_error,ib_local_link_integrity_errors,ib_port_rcv_remote_physical_errors,ib_port_rcv_errors,ib_sq_num_rnr,ib_sq_num_to,ib_rq_num_oos,ib_sq_num_oos,ib_port_xmit_data_delta,ib_port_rcv_data_delta,ib_port_xmit_packets_delta,ib_port_rcv_packets_delta,ib_port_xmit_wait_delta,ib_port_xmit_discards_delta,ib_excessive_buffer_overrun_errors_delta,ib_symbol_error_delta,ib_port_rcv_errors_delta,ib_sq_num_rnr_delta,ib_sq_num_to_delta,ib_rq_num_oos_delta,ib_sq_num_oos_delta
1777326758.3156664,g11.hpc.coe,34662,,0,0.0,0.0,12288.0,36751358899,38531383528,37738270,40831710,1362316,0,0,0,0,0,0,0,0,0,73,8,76,,,,,,,,,,,,,
1777326758.8157806,g11.hpc.coe,34662,0.5001,0,0.0,0.0,12288.0,36751366575,38531390801,37738411,40831847,1362316,0,0,0,0,0,0,0,0,0,73,8,76,7676,7273,141,137,0,0,0,0,0,0,0,0,0
1777326759.315867,g11.hpc.coe,34662,0.5001,0,0.0,0.0,12288.0,36751451017,38531474004,37740023,40833460,1362316,0,0,0,0,0,0,0,0,0,73,8,76,84442,83203,1612,1613,0,0,0,0,0,0,0,0,0
1777326759.8159769,g11.hpc.coe,34662,0.5001,0,0.0,0.0,12288.0,36751524220,38531545678,37741416,40834842,1362316,0,0,0,0,0,0,0,0,0,73,8,76,73203,71674,1393,1382,0,0,0,0,0,0,0,0,0
1777326760.3161445,g11.hpc.coe,34662,0.5002,0,0.0,0.0,12288.0,36751562421,38531582955,37742142,40835559,1362316,0,0,0,0,0,0,0,0,0,73,8,76,38201,37277,726,717,0,0,0,0,0,0,0,0,0
1777326760.8162577,g11.hpc.coe,34662,0.5001,0,0.0,11.0,12288.0,36751563363,38531583528,37742153,40835568,1362316,0,0,0,0,0,0,0,0,0,73,8,76,942,573,11,9,0,0,0,0,0,0,0,0,0
1777326761.3163335,g11.hpc.coe,34662,0.5001,0,10.0,419.0,12288.0,36751587650,38536811951,37742739,40841171,1362316,0,0,0,0,0,0,0,0,0,73,8,76,24287,5228423,586,5603,0,0,0,0,0,0,0,0,0
1777326761.8164175,g11.hpc.coe,34662,0.5001,0,0.0,419.0,12288.0,36751688167,38536910651,37744650,40843078,1362316,0,0,0,0,0,0,0,0,0,73,8,76,100517,98700,1911,1907,0,0,0,0,0,0,0,0,0
1777326762.3165154,g11.hpc.coe,34662,0.5001,0,0.0,419.0,12288.0,36751749988,38536971052,37745824,40844247,1362316,0,0,0,0,0,0,0,0,0,73,8,76,61821,60401,1174,1169,0,0,0,0,0,0,0,0,0
1777326762.81662,g11.hpc.coe,34662,0.5001,0,100.0,473.0,12288.0,36751770873,38536991033,37746214,40844635,1362316,0,0,0,0,0,0,0,0,0,73,8,76,20885,19981,390,388,0,0,0,0,0,0,0,0,0
1777326763.3167233,g11.hpc.coe,34662,0.5001,0,99.0,2035.0,12288.0,36765649840,38550891772,37760120,40858563,1364277,0,0,0,0,0,0,0,0,0,73,8,76,13878967,13900739,13906,13928,1961,0,0,0,0,0,0,0,0
1777326763.8168182,g11.hpc.coe,34662,0.5001,0,100.0,2035.0,12288.0,36801040089,38586318619,37795769,40894243,1364300,0,0,0,0,0,0,0,0,0,73,8,76,35390249,35426847,35649,35680,23,0,0,0,0,0,0,0,0
1777326764.3169117,g11.hpc.coe,34662,0.5001,0,100.0,2035.0,12288.0,36835740265,38621055367,37830666,40929172,1364325,0,0,0,0,0,0,0,0,0,73,8,76,34700176,34736748,34897,34929,25,0,0,0,0,0,0,0,0
1777326764.8170059,g11.hpc.coe,34662,0.5001,0,100.0,2035.0,12288.0,36876690338,38662049339,37871795,40970327,1364737,0,0,0,0,0,0,0,0,0,73,8,76,40950073,40993972,41129,41155,412,0,0,0,0,0,0,0,0
