timestamp,node_id,job_id,polling_interval_actual,gpu_index,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,ib_port_xmit_data,ib_port_rcv_data,ib_port_xmit_packets,ib_port_rcv_packets,ib_port_xmit_wait,ib_port_xmit_discards,ib_excessive_buffer_overrun_errors,ib_link_downed,ib_link_error_recovery,ib_symbol_error,ib_local_link_integrity_errors,ib_port_rcv_remote_physical_errors,ib_port_rcv_errors,ib_sq_num_rnr,ib_sq_num_to,ib_rq_num_oos,ib_sq_num_oos,ib_port_xmit_data_delta,ib_port_rcv_data_delta,ib_port_xmit_packets_delta,ib_port_rcv_packets_delta,ib_port_xmit_wait_delta,ib_port_xmit_discards_delta,ib_excessive_buffer_overrun_errors_delta,ib_symbol_error_delta,ib_port_rcv_errors_delta,ib_sq_num_rnr_delta,ib_sq_num_to_delta,ib_rq_num_oos_delta,ib_sq_num_oos_delta
1778096629.270147,g5.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,135347232612,136420271708,137613849,139217150,2565898,0,0,0,0,0,0,0,0,0,0,0,0,1154,79,4,2,0,0,0,0,0,0,0,0,0
1778096629.7702835,g5.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,135347232817,136420271820,137613853,139217152,2565898,0,0,0,0,0,0,0,0,0,0,0,0,205,112,4,2,0,0,0,0,0,0,0,0,0
1778096630.2704182,g5.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,135347232988,136420271877,137613855,139217153,2565898,0,0,0,0,0,0,0,0,0,0,0,0,171,57,2,1,0,0,0,0,0,0,0,0,0
1778096630.7705543,g5.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,135347233201,136420271934,137613857,139217154,2565898,0,0,0,0,0,0,0,0,0,0,0,0,213,57,2,1,0,0,0,0,0,0,0,0,0
1778096631.2707212,g5.hpc.coe,41393,0.5002,0,0.0,0.0,12288.0,135347233456,136420271991,137613859,139217155,2565898,0,0,0,0,0,0,0,0,0,0,0,0,255,57,2,1,0,0,0,0,0,0,0,0,0
1778096631.7708633,g5.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,135347233754,136420272048,137613861,139217156,2565898,0,0,0,0,0,0,0,0,0,0,0,0,298,57,2,1,0,0,0,0,0,0,0,0,0
1778096632.2709942,g5.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,135347234695,136420272552,137613877,139217165,2565898,0,0,0,0,0,0,0,0,0,0,0,0,941,504,16,9,0,0,0,0,0,0,0,0,0
1778096632.771132,g5.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,135347235078,136420272609,137613879,139217166,2565898,0,0,0,0,0,0,0,0,0,0,0,0,383,57,2,1,0,0,0,0,0,0,0,0,0
1778096633.271292,g5.hpc.coe,41393,0.5002,0,0.0,0.0,12288.0,135347235503,136420272666,137613881,139217167,2565898,0,0,0,0,0,0,0,0,0,0,0,0,425,57,2,1,0,0,0,0,0,0,0,0,0
1778096633.7714305,g5.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,135347235970,136420272723,137613883,139217168,2565898,0,0,0,0,0,0,0,0,0,0,0,0,467,57,2,1,0,0,0,0,0,0,0,0,0
1778096634.2715614,g5.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,135347236479,136420272780,137613885,139217169,2565898,0,0,0,0,0,0,0,0,0,0,0,0,509,57,2,1,0,0,0,0,0,0,0,0,0
1778096634.7717006,g5.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,135347237052,136420272859,137613888,139217171,2565898,0,0,0,0,0,0,0,0,0,0,0,0,573,79,3,2,0,0,0,0,0,0,0,0,0
1778096635.2718506,g5.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,135347237722,136420272993,137613892,139217174,2565898,0,0,0,0,0,0,0,0,0,0,0,0,670,134,4,3,0,0,0,0,0,0,0,0,0
1778096635.7719874,g5.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,135347238380,136420273072,137613895,139217176,2565898,0,0,0,0,0,0,0,0,0,0,0,0,658,79,3,2,0,0,0,0,0,0,0,0,0
1778096636.2721267,g5.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,135347239080,136420273151,137613898,139217178,2565898,0,0,0,0,0,0,0,0,0,0,0,0,700,79,3,2,0,0,0,0,0,0,0,0,0
1778096636.7722635,g5.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,135347239822,136420273230,137613901,139217180,2565898,0,0,0,0,0,0,0,0,0,0,0,0,742,79,3,2,0,0,0,0,0,0,0,0,0
1778096637.2723932,g5.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,135347240607,136420273309,137613904,139217182,2565898,0,0,0,0,0,0,0,0,0,0,0,0,785,79,3,2,0,0,0,0,0,0,0,0,0
1778096637.7725053,g5.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,135347241434,136420273388,137613907,139217184,2565898,0,0,0,0,0,0,0,0,0,0,0,0,827,79,3,2,0,0,0,0,0,0,0,0,0
1778096638.272639,g5.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,135347242303,136420273467,137613910,139217186,2565898,0,0,0,0,0,0,0,0,0,0,0,0,869,79,3,2,0,0,0,0,0,0,0,0,0
1778096638.7727869,g5.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,135347243214,136420273546,137613913,139217188,2565898,0,0,0,0,0,0,0,0,0,0,0,0,911,79,3,2,0,0,0,0,0,0,0,0,0
