timestamp,node_id,job_id,polling_interval_actual,gpu_index,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,ib_port_xmit_data,ib_port_rcv_data,ib_port_xmit_packets,ib_port_rcv_packets,ib_port_xmit_wait,ib_port_xmit_discards,ib_excessive_buffer_overrun_errors,ib_link_downed,ib_link_error_recovery,ib_symbol_error,ib_local_link_integrity_errors,ib_port_rcv_remote_physical_errors,ib_port_rcv_errors,ib_sq_num_rnr,ib_sq_num_to,ib_rq_num_oos,ib_sq_num_oos,ib_port_xmit_data_delta,ib_port_rcv_data_delta,ib_port_xmit_packets_delta,ib_port_rcv_packets_delta,ib_port_xmit_wait_delta,ib_port_xmit_discards_delta,ib_excessive_buffer_overrun_errors_delta,ib_symbol_error_delta,ib_port_rcv_errors_delta,ib_sq_num_rnr_delta,ib_sq_num_to_delta,ib_rq_num_oos_delta,ib_sq_num_oos_delta
1778080788.319069,g5.hpc.coe,40875,,0,0.0,0.0,12288.0,453035312,1331365390,1946148,3318691,7900,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
1778080788.8191688,g5.hpc.coe,40875,0.5001,0,0.0,0.0,12288.0,453045866,1331375561,1946346,3318887,7900,0,0,0,0,0,0,0,0,0,0,0,0,10554,10171,198,196,0,0,0,0,0,0,0,0,0
1778080789.3192499,g5.hpc.coe,40875,0.5001,0,0.0,0.0,12288.0,453133640,1331462086,1948022,3320563,7900,0,0,0,0,0,0,0,0,0,0,0,0,87774,86525,1676,1676,0,0,0,0,0,0,0,0,0
1778080789.8193634,g5.hpc.coe,40875,0.5001,0,0.0,0.0,12288.0,453199650,1331526783,1949275,3321812,7900,0,0,0,0,0,0,0,0,0,0,0,0,66010,64697,1253,1249,0,0,0,0,0,0,0,0,0
1778080790.3194776,g5.hpc.coe,40875,0.5001,0,0.0,0.0,12288.0,453237775,1331564060,1949998,3322529,7900,0,0,0,0,0,0,0,0,0,0,0,0,38125,37277,723,717,0,0,0,0,0,0,0,0,0
1778080790.8196003,g5.hpc.coe,40875,0.5001,0,0.0,0.0,12288.0,453238247,1331564117,1950000,3322530,7900,0,0,0,0,0,0,0,0,0,0,0,0,472,57,2,1,0,0,0,0,0,0,0,0,0
1778080791.3197045,g5.hpc.coe,40875,0.5001,0,0.0,11.0,12288.0,453239237,1331564690,1950012,3322539,7900,0,0,0,0,0,0,0,0,0,0,0,0,990,573,12,9,0,0,0,0,0,0,0,0,0
1778080791.819814,g5.hpc.coe,40875,0.5001,0,7.0,419.0,12288.0,453262866,1338045703,1950633,3330470,7900,0,0,0,0,0,0,0,0,0,0,0,0,23629,6481013,621,7931,0,0,0,0,0,0,0,0,0
1778080792.3199499,g5.hpc.coe,40875,0.5001,0,0.0,419.0,12288.0,453273610,1338433605,1950844,3331349,7900,0,0,0,0,0,0,0,0,0,0,0,0,10744,387902,211,879,0,0,0,0,0,0,0,0,0
1778080792.8200746,g5.hpc.coe,40875,0.5001,0,0.0,419.0,12288.0,453283602,1338869419,1951037,3332308,7900,0,0,0,0,0,0,0,0,0,0,0,0,9992,435814,193,959,0,0,0,0,0,0,0,0,0
1778080793.3201861,g5.hpc.coe,40875,0.5001,0,0.0,419.0,12288.0,453294667,1339286882,1951256,3333236,7900,0,0,0,0,0,0,0,0,0,0,0,0,11065,417463,219,928,0,0,0,0,0,0,0,0,0
1778080793.8203428,g5.hpc.coe,40875,0.5002,0,0.0,419.0,12288.0,453305291,1339568604,1951455,3333907,7900,0,0,0,0,0,0,0,0,0,0,0,0,10624,281722,199,671,0,0,0,0,0,0,0,0,0
1778080794.3204834,g5.hpc.coe,40875,0.5001,0,0.0,419.0,12288.0,453312674,1339807241,1951597,3334451,7900,0,0,0,0,0,0,0,0,0,0,0,0,7383,238637,142,544,0,0,0,0,0,0,0,0,0
1778080794.8205907,g5.hpc.coe,40875,0.5001,0,0.0,419.0,12288.0,453322365,1340175739,1951781,3335271,7900,0,0,0,0,0,0,0,0,0,0,0,0,9691,368498,184,820,0,0,0,0,0,0,0,0,0
1778080795.3207238,g5.hpc.coe,40875,0.5001,0,0.0,419.0,12288.0,453337379,1340873514,1952078,3336790,7900,0,0,0,0,0,0,0,0,0,0,0,0,15014,697775,297,1519,0,0,0,0,0,0,0,0,0
1778080795.820863,g5.hpc.coe,40875,0.5001,0,0.0,419.0,12288.0,453349533,1341228648,1952306,3337618,7900,0,0,0,0,0,0,0,0,0,0,0,0,12154,355134,228,828,0,0,0,0,0,0,0,0,0
1778080796.3209767,g5.hpc.coe,40875,0.5001,0,0.0,419.0,12288.0,453362828,1341453426,1952559,3338211,7900,0,0,0,0,0,0,0,0,0,0,0,0,13295,224778,253,593,0,0,0,0,0,0,0,0,0
1778080796.8211067,g5.hpc.coe,40875,0.5001,0,0.0,419.0,12288.0,453377332,1341817855,1952837,3339078,7900,0,0,0,0,0,0,0,0,0,0,0,0,14504,364429,278,867,0,0,0,0,0,0,0,0,0
1778080797.3212416,g5.hpc.coe,40875,0.5001,0,0.0,419.0,12288.0,453396658,1342574255,1953216,3340769,7900,0,0,0,0,0,0,0,0,0,0,0,0,19326,756400,379,1691,0,0,0,0,0,0,0,0,0
1778080797.8213649,g5.hpc.coe,40875,0.5001,0,0.0,419.0,12288.0,453408275,1342728598,1953430,3341205,7900,0,0,0,0,0,0,0,0,0,0,0,0,11617,154343,214,436,0,0,0,0,0,0,0,0,0
1778080798.3214738,g5.hpc.coe,40875,0.5001,0,0.0,419.0,12288.0,453445295,1352997029,1954482,3361130,7900,0,0,0,0,0,0,0,0,0,0,0,0,37020,10268431,1052,19925,0,0,0,0,0,0,0,0,0
1778080798.821592,g5.hpc.coe,40875,0.5001,0,0.0,419.0,12288.0,453455298,1353124065,1954656,3361497,7900,0,0,0,0,0,0,0,0,0,0,0,0,10003,127036,174,367,0,0,0,0,0,0,0,0,0
1778080799.3217256,g5.hpc.coe,40875,0.5001,0,0.0,419.0,12288.0,453460818,1353222935,1954768,3361755,7900,0,0,0,0,0,0,0,0,0,0,0,0,5520,98870,112,258,0,0,0,0,0,0,0,0,0
1778080799.821836,g5.hpc.coe,40875,0.5001,0,0.0,419.0,12288.0,453469414,1353330540,1954931,3362076,7900,0,0,0,0,0,0,0,0,0,0,0,0,8596,107605,163,321,0,0,0,0,0,0,0,0,0
1778080800.3219666,g5.hpc.coe,40875,0.5001,0,0.0,419.0,12288.0,453478646,1353544505,1955110,3362607,7900,0,0,0,0,0,0,0,0,0,0,0,0,9232,213965,179,531,0,0,0,0,0,0,0,0,0
1778080800.8220987,g5.hpc.coe,40875,0.5001,0,0.0,419.0,12288.0,453489770,1353855494,1955330,3363350,7900,0,0,0,0,0,0,0,0,0,0,0,0,11124,310989,220,743,0,0,0,0,0,0,0,0,0
1778080801.3222327,g5.hpc.coe,40875,0.5001,0,0.0,419.0,12288.0,453510404,1354259805,1955733,3364396,7900,0,0,0,0,0,0,0,0,0,0,0,0,20634,404311,403,1046,0,0,0,0,0,0,0,0,0
1778080801.8223467,g5.hpc.coe,40875,0.5001,0,0.0,419.0,12288.0,453544502,1354433782,1956389,3365292,7900,0,0,0,0,0,0,0,0,0,0,0,0,34098,173977,656,896,0,0,0,0,0,0,0,0,0
