timestamp,node_id,job_id,polling_interval_actual,gpu_index,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,ib_port_xmit_data,ib_port_rcv_data,ib_port_xmit_packets,ib_port_rcv_packets,ib_port_xmit_wait,ib_port_xmit_discards,ib_excessive_buffer_overrun_errors,ib_link_downed,ib_link_error_recovery,ib_symbol_error,ib_local_link_integrity_errors,ib_port_rcv_remote_physical_errors,ib_port_rcv_errors,ib_sq_num_rnr,ib_sq_num_to,ib_rq_num_oos,ib_sq_num_oos,ib_port_xmit_data_delta,ib_port_rcv_data_delta,ib_port_xmit_packets_delta,ib_port_rcv_packets_delta,ib_port_xmit_wait_delta,ib_port_xmit_discards_delta,ib_excessive_buffer_overrun_errors_delta,ib_symbol_error_delta,ib_port_rcv_errors_delta,ib_sq_num_rnr_delta,ib_sq_num_to_delta,ib_rq_num_oos_delta,ib_sq_num_oos_delta
1778096619.4525971,g7.hpc.coe,41393,,0,0.0,0.0,12288.0,47548644,217900635,491700,675636,445,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
1778096619.9527326,g7.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,47548970,217900692,491703,675637,445,0,0,0,0,0,0,0,0,0,0,0,0,326,57,3,1,0,0,0,0,0,0,0,0,0
1778096620.4528618,g7.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,47549312,217900749,491705,675638,445,0,0,0,0,0,0,0,0,0,0,0,0,342,57,2,1,0,0,0,0,0,0,0,0,0
1778096620.953005,g7.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,47549692,217900806,491707,675639,445,0,0,0,0,0,0,0,0,0,0,0,0,380,57,2,1,0,0,0,0,0,0,0,0,0
1778096621.4531353,g7.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,47550110,217900863,491709,675640,445,0,0,0,0,0,0,0,0,0,0,0,0,418,57,2,1,0,0,0,0,0,0,0,0,0
1778096621.9532619,g7.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,47550566,217900920,491711,675641,445,0,0,0,0,0,0,0,0,0,0,0,0,456,57,2,1,0,0,0,0,0,0,0,0,0
1778096622.4533756,g7.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,47551060,217900977,491713,675642,445,0,0,0,0,0,0,0,0,0,0,0,0,494,57,2,1,0,0,0,0,0,0,0,0,0
1778096622.9534936,g7.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,47551592,217901034,491715,675643,445,0,0,0,0,0,0,0,0,0,0,0,0,532,57,2,1,0,0,0,0,0,0,0,0,0
1778096623.4536083,g7.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,47552184,217901113,491718,675645,445,0,0,0,0,0,0,0,0,0,0,0,0,592,79,3,2,0,0,0,0,0,0,0,0,0
1778096623.9537318,g7.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,47552814,217901192,491721,675647,445,0,0,0,0,0,0,0,0,0,0,0,0,630,79,3,2,0,0,0,0,0,0,0,0,0
1778096624.4538596,g7.hpc.coe,41393,0.5001,0,0.0,0.0,12288.0,47553482,217901271,491724,675649,445,0,0,0,0,0,0,0,0,0,0,0,0,668,79,3,2,0,0,0,0,0,0,0,0,0
